timestamp,kwh,FID,the_geom,code,precip_quantity,precip_range,temp,temp_min,temp_max,temp_grass_min,wind_speed,wind_speed_unit,wind_direction,wind_peak_speed,humidity_relative,weather_current,pressure,pressure_station_level,sun_duration_24hours,short_wave_from_sky_24hours,cloudiness,date,time,datum,Opkomst,Op ware middag,Ondergang
2023-03-11 16:00:00,0.54,synop_data.6407.2023-03-11 16:00:00+00,POINT (51.200341 2.887306),6407,,,5.8,,,,2.0,1,130.0,4.0,,,1011.5,1010.9,,,7.0,2023-03-11,16:00,2023-03-11,07:06:00,12:53:00,18:40:00
2023-03-11 17:00:00,1.0200000000000002,synop_data.6434.2023-03-11 17:00:00+00,POINT (50.980293 3.816003),6434,,,6.1,,,,1.11,1,187.0,2.7,60.7,,1011.7,1009.7,,,,2023-03-11,17:00,2023-03-11,07:06:00,12:53:00,18:40:00
2023-03-11 18:00:00,1.1700000000000004,synop_data.6418.2023-03-11 18:00:00+00,POINT (51.347375 3.201846),6418,0.0,2.0,5.4,,7.7,,3.144,1,72.1,4.6,65.7,,1011.9,1010.2,,,,2023-03-11,18:00,2023-03-11,07:06:00,12:53:00,18:40:00
2023-03-11 19:00:00,1.1800000000000004,synop_data.6434.2023-03-11 19:00:00+00,POINT (50.980293 3.816003),6434,,,3.7,,,,1.442,1,145.9,1.9,73.2,,1012.2,1010.1,,,,2023-03-11,19:00,2023-03-11,07:06:00,12:53:00,18:40:00
2023-03-11 20:00:00,1.1800000000000004,synop_data.6418.2023-03-11 20:00:00+00,POINT (51.347375 3.201846),6418,,,5.3,,,,3.355,1,104.7,5.1,68.7,,1011.7,1010.0,,,,2023-03-11,20:00,2023-03-11,07:06:00,12:53:00,18:40:00
2023-03-11 21:00:00,1.1800000000000004,synop_data.6434.2023-03-11 21:00:00+00,POINT (50.980293 3.816003),6434,,,4.5,,,,2.177,1,129.7,2.7,66.6,,1012.0,1009.9,,,,2023-03-11,21:00,2023-03-11,07:06:00,12:53:00,18:40:00
2023-03-11 22:00:00,1.1800000000000004,synop_data.6407.2023-03-11 22:00:00+00,POINT (51.200341 2.887306),6407,,,3.9,,,,3.0,1,140.0,8.0,,21.0,1010.9,1010.3,,,8.0,2023-03-11,22:00,2023-03-11,07:06:00,12:53:00,18:40:00
2023-03-11 23:00:00,1.1800000000000004,synop_data.6434.2023-03-11 23:00:00+00,POINT (50.980293 3.816003),6434,,,4.7,,,,2.116,1,137.7,4.5,68.7,,1011.5,1009.4,,,,2023-03-11,23:00,2023-03-11,07:06:00,12:53:00,18:40:00
2023-03-12 00:00:00,1.1800000000000004,synop_data.6407.2023-03-12 00:00:00+00,POINT (51.200341 2.887306),6407,,1.0,3.8,,,,4.0,1,160.0,8.0,,21.0,1009.9,1009.2,,,7.0,2023-03-12,00:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 01:00:00,1.1800000000000004,synop_data.6434.2023-03-12 01:00:00+00,POINT (50.980293 3.816003),6434,,,4.2,,,,2.833,1,168.1,8.1,81.8,,1010.4,1008.4,,,,2023-03-12,01:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 02:00:00,1.1800000000000004,synop_data.6418.2023-03-12 02:00:00+00,POINT (51.347375 3.201846),6418,,,4.6,,,,7.919,1,165.0,10.3,73.1,,1008.4,1006.7,,,,2023-03-12,02:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 03:00:00,1.1800000000000004,synop_data.6434.2023-03-12 03:00:00+00,POINT (50.980293 3.816003),6434,,,4.1,,,,3.568,1,182.7,8.5,86.0,,1009.3,1007.3,,,,2023-03-12,03:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 04:00:00,1.1800000000000004,synop_data.6414.2023-03-12 04:00:00+00,POINT (50.90398 3.121692),6414,,,4.5,,,,4.011,1,180.8,5.9,99.8,,1008.3,1005.1,,,,2023-03-12,04:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 05:00:00,1.1800000000000004,synop_data.6434.2023-03-12 05:00:00+00,POINT (50.980293 3.816003),6434,,,4.5,,,,4.462,1,200.1,6.5,95.6,,1008.4,1006.3,,,,2023-03-12,05:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 06:00:00,1.1800000000000004,synop_data.6414.2023-03-12 06:00:00+00,POINT (50.90398 3.121692),6414,0.6,2.0,6.5,4.0,,,4.846,1,215.2,7.5,100.0,,1008.4,1005.2,,,,2023-03-12,06:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 07:00:00,1.1800000000000004,synop_data.6434.2023-03-12 07:00:00+00,POINT (50.980293 3.816003),6434,,,7.3,,,,5.075,1,244.3,9.1,98.8,,1008.8,1006.8,,,,2023-03-12,07:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 08:00:00,1.1800000000000004,synop_data.6407.2023-03-12 08:00:00+00,POINT (51.200341 2.887306),6407,,,8.0,,,,9.0,1,250.0,13.0,,,1008.9,1008.3,,,7.0,2023-03-12,08:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 09:00:00,1.2700000000000005,synop_data.6434.2023-03-12 09:00:00+00,POINT (50.980293 3.816003),6434,,,10.1,,,-0.6,6.06,1,258.4,10.1,89.5,,1009.9,1007.9,,,,2023-03-12,09:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 10:00:00,1.5700000000000005,synop_data.6418.2023-03-12 10:00:00+00,POINT (51.347375 3.201846),6418,,,8.8,,,,7.208,1,236.1,12.1,93.6,,1009.5,1007.8,,,,2023-03-12,10:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 11:00:00,2.230000000000001,synop_data.6434.2023-03-12 11:00:00+00,POINT (50.980293 3.816003),6434,,,11.8,,,,5.117,1,252.9,10.8,77.1,,1010.3,1008.3,,,,2023-03-12,11:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 12:00:00,3.4900000000000007,synop_data.6407.2023-03-12 12:00:00+00,POINT (51.200341 2.887306),6407,0.1,1.0,10.1,,,,10.0,1,260.0,15.0,,,1010.0,1009.4,,,6.0,2023-03-12,12:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 13:00:00,4.3100000000000005,synop_data.6434.2023-03-12 13:00:00+00,POINT (50.980293 3.816003),6434,,,12.2,,,,7.3,1,252.2,12.6,67.8,,1009.9,1007.9,,,,2023-03-12,13:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 14:00:00,5.4,synop_data.6414.2023-03-12 14:00:00+00,POINT (50.90398 3.121692),6414,,,12.1,,,,7.469,1,235.0,12.6,72.0,,1009.9,1006.8,,,,2023-03-12,14:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 15:00:00,6.29,synop_data.6434.2023-03-12 15:00:00+00,POINT (50.980293 3.816003),6434,,,11.9,,,,7.103,1,249.8,14.1,69.6,,1009.9,1007.9,,,,2023-03-12,15:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 16:00:00,6.53,synop_data.6418.2023-03-12 16:00:00+00,POINT (51.347375 3.201846),6418,,,9.5,,,,8.248,1,235.3,13.5,82.3,,1008.7,1007.0,,,,2023-03-12,16:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 17:00:00,6.61,synop_data.6434.2023-03-12 17:00:00+00,POINT (50.980293 3.816003),6434,,,11.1,,,,5.154,1,252.9,9.9,75.0,,1009.5,1007.5,,,,2023-03-12,17:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 18:02:00,6.63,synop_data.6418.2023-03-12 18:00:00+00,POINT (51.347375 3.201846),6418,0.1,2.0,10.4,,10.7,,7.25,1,223.8,15.4,79.4,,1007.8,1006.2,,,,2023-03-12,18:02,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 19:00:00,6.63,synop_data.6434.2023-03-12 19:00:00+00,POINT (50.980293 3.816003),6434,,,9.6,,,,2.878,1,193.9,4.0,86.5,,1008.6,1006.6,,,,2023-03-12,19:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 20:00:00,6.63,synop_data.6407.2023-03-12 20:00:00+00,POINT (51.200341 2.887306),6407,,,8.8,,,,6.0,1,190.0,8.0,,60.0,1006.6,1006.0,,,8.0,2023-03-12,20:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 21:00:00,6.63,synop_data.6434.2023-03-12 21:00:00+00,POINT (50.980293 3.816003),6434,,,11.2,,,,6.842,1,221.3,12.1,77.7,,1007.1,1005.1,,,,2023-03-12,21:00,2023-03-12,07:04:00,12:52:00,18:42:00
2023-03-12 22:00:00,6.63,synop_data.6418.2023-03-12 22:00:00+00,POINT (51.347375 3.201846),6418,,,10.1,,,,9.76,1,180.3,12.4,85.0,,1003.8,1002.1,,,,2023-03-12,22:00,2023-03-12,07:04:00,12:52:00,18:42:00
